mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4050774574279785,0.007434761516086517,0.012830448150634766,0.0003377123691147546,0.8,200,5,6,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.7918934402749929,0.7942161122587079,0.7879694961157437,0.7935303800186073,0.7883305856211025,0.7911880028578309,0.0025952818024311784,5
0.2834150791168213,0.005460069072220373,0.012043190002441407,0.00045564672108483104,0.8,200,1,4,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.7918127817934588,0.7938571428571428,0.7865923384791309,0.791565055228805,0.7869512107494431,0.790155705821596,0.0028774703522727162,8
0.7744486808776856,0.04418451505897333,0.029244184494018555,0.009650620807590648,1.0,500,5,6,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.7940336854125035,0.7938247011952191,0.789286223108705,0.7916547585024293,0.7885869954835472,0.7914772727404807,0.002246400160538655,2
0.399149751663208,0.02863772006558244,0.023139238357543945,0.010692581205836925,1.0,300,5,4,0.03,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7915021890475848,0.7927798868275912,0.7866102788330586,0.7909385113268609,0.7865572826712723,0.7896776297412735,0.002595690486021806,11
0.49006175994873047,0.024225753048404724,0.013481712341308594,0.00035579483749054993,0.8,200,1,6,0.03,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.790511001218376,0.793453401943968,0.7872584108804581,0.7899992815575831,0.7861512992154323,0.7894746789631635,0.002574338960539228,12
0.3942613124847412,0.003973058758257843,0.013143587112426757,0.00032378217067309306,0.8,200,1,6,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.7909475041180262,0.7940609608109073,0.7893984854979282,0.792460943098753,0.7880747126436781,0.7909885212338585,0.00212734988416906,6
0.3788591384887695,0.04468452130499143,0.021985530853271484,0.008897520287118741,1.0,300,1,4,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7924636435274733,0.792876555571449,0.7863994273443092,0.7919540229885057,0.7870290480299108,0.7901445394923295,0.002823067054073446,9
0.9386277198791504,0.040556550107897577,0.024894332885742186,0.004983507842721894,0.8,500,10,6,0.03,1.0,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.7933400028583679,0.7951824401368301,0.7878010545817301,0.7930417352709571,0.7873394100337329,0.7913409285763237,0.0031682522314816853,3
0.9942940711975098,0.01092877421049308,0.021445846557617186,0.006927459799506954,0.8,300,10,8,0.05,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.7931477516059957,0.7955337458217765,0.7893052691459859,0.7937459841507818,0.7880438678230951,0.791955323709527,0.002819777659987953,1
0.6463824272155761,0.03918657177821898,0.01697850227355957,0.005192111588705316,0.8,200,1,8,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.792385314535175,0.7948663101604279,0.7884285714285715,0.7930442249892657,0.7874865156418555,0.7912421873510591,0.002818150105745028,4
0.5204282760620117,0.004663100668464325,0.032125997543334964,0.02539329118165357,1.0,500,10,4,0.03,1.0,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.7917144495412844,0.7937482158150158,0.7874454850933009,0.7931528434321731,0.7865297623321605,0.790518151242787,0.0029716854833973564,7
0.3627270221710205,0.005700574991329693,0.014787817001342773,0.00043477709288650346,0.8,300,1,4,0.03,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",0.7911142959512719,0.7934735938170889,0.7866599871180133,0.7908581285036653,0.7867366755376537,0.7897685361855385,0.0026676202545828005,10
