Feature,Importance
cat__ROUTE_12953_10693,0.0018806085
cat__ROUTE_11298_14100,0.0018774779
cat__ROUTE_11292_13930,0.0018707105
cat__ROUTE_11986_11298,0.0018571748
cat__ROUTE_14122_11278,0.0018493691
cat__ROUTE_14747_10299,0.0018469592
cat__ROUTE_10140_14107,0.0018415436
cat__ROUTE_13487_13303,0.0018348711
cat__ROUTE_12892_12478,0.0018301584
cat__OP_UNIQUE_CARRIER_AS,0.0018249147
cat__ROUTE_11433_14771,0.0018239956
cat__ROUTE_10721_12266,0.001822263
cat__ROUTE_12266_12892,0.0018218431
cat__ROUTE_14843_11618,0.0018202718
cat__ROUTE_10397_13303,0.001818412
cat__ROUTE_14107_14057,0.0018157874
cat__ROUTE_11618_10423,0.001811427
cat__ROUTE_11433_14576,0.001804309
cat__ROUTE_12339_12266,0.0017989911
cat__ROUTE_11823_11298,0.0017981504
cat__ROUTE_13930_13487,0.0017931676
cat__ROUTE_14100_14679,0.001790508
cat__OP_UNIQUE_CARRIER_NK,0.0017895814
cat__ROUTE_12266_10372,0.0017887458
cat__ROUTE_14747_14771,0.0017829635
cat__ROUTE_12339_13303,0.0017789048
cat__ROUTE_10721_14027,0.0017779458
cat__ROUTE_11057_12451,0.0017723421
cat__ROUTE_10721_11278,0.0017651615
cat__ROUTE_14869_12889,0.001762917
cat__ROUTE_11298_10397,0.0017600433
cat__ROUTE_11292_14057,0.0017585828
cat__ROUTE_11278_15304,0.0017585028
cat__ROUTE_12892_13796,0.00175047
cat__ROUTE_12889_11638,0.0017471907
cat__ROUTE_12892_11292,0.0017462816
cat__ROUTE_11042_15304,0.0017449907
cat__ROUTE_13232_13198,0.0017434891
cat__ROUTE_11057_10693,0.0017429795
cat__ROUTE_12173_12758,0.0017330521
cat__ROUTE_11193_15304,0.0017328667
cat__ROUTE_10408_13930,0.0017322948
cat__ROUTE_14771_13487,0.0017282333
cat__ROUTE_11433_14747,0.0017279622
cat__ROUTE_10980_13930,0.0017217242
cat__ROUTE_10721_15304,0.0017196464
cat__ROUTE_10693_11278,0.001719296
cat__ROUTE_14307_13204,0.0017182606
cat__ROUTE_10397_11433,0.0017172009
cat__ROUTE_11433_11193,0.0017047165
cat__ROUTE_11433_10792,0.0016953842
cat__ROUTE_11057_12953,0.0016918614
cat__ROUTE_12892_12173,0.0016911726
cat__ROUTE_11292_10849,0.0016881529
cat__ROUTE_13931_11057,0.001674962
cat__ROUTE_12478_13487,0.0016743564
cat__ROUTE_11977_13930,0.0016741416
cat__ROUTE_12953_13495,0.0016668433
cat__ROUTE_15016_11259,0.0016656484
cat__ROUTE_11298_13198,0.0016638949
cat__ROUTE_13930_14783,0.0016523317
num__CRS_DEP_TIME,0.0016502327
cat__ROUTE_14831_14747,0.001645683
cat__ROUTE_11278_13198,0.0016452719
cat__ROUTE_14685_11057,0.0016424477
cat__ROUTE_11278_13342,0.0016396374
cat__ROUTE_12339_10397,0.0016391182
cat__ROUTE_15096_13204,0.0016363683
cat__ROUTE_12892_14570,0.001635226
cat__ROUTE_11298_11540,0.0016325155
cat__ROUTE_10397_14057,0.0016316241
cat__OP_UNIQUE_CARRIER_9E,0.0016312654
cat__ROUTE_14679_14107,0.0016305796
cat__ROUTE_14869_12892,0.0016282846
cat__ROUTE_14747_13486,0.0016248644
cat__OP_UNIQUE_CARRIER_UA,0.0016240221
cat__ROUTE_13204_12892,0.0016185632
