Model,CV Accuracy,CV Precision,CV Recall,CV F1,CV ROC-AUC,Runtime Seconds,Evaluation Setting
Logistic Regression,0.8985349999999999,0.7180101730992385,0.799640123956911,0.756626074574785,0.9215091540624266,79.96034264564514,5-fold CV on 200k training sample
Random Forest,0.8976949999999999,0.7238452867387029,0.784481425661921,0.7521821525989866,0.8812877993993654,6.176375389099121,5-fold CV on 200k training sample
XGBoost,0.9269399999999999,0.9084208848207389,0.7001952631417444,0.7908235487839453,0.9311692333937384,7.865897178649902,5-fold CV on 200k training sample
Tuned XGBoost,0.9276871777628335,0.9105238928275481,0.7024178197005426,0.7930456539346747,0.9372813287001215,2.071974039077759,Final evaluation on full test set
