Model,Debug Accuracy,Debug Precision,Debug Recall,Debug F1,Runtime Seconds,Debug ROC-AUC
Logistic Regression,0.895,0.7108632040965618,0.78827823970797,0.7475718819117223,11.77586579322815,0.9168173997639598
Random Forest,0.88148,0.6790393013100436,0.7568444534577164,0.7158338927783638,0.401857852935791,0.8679753441177521
XGBoost,0.92568,0.9025412627718103,0.6986412492395052,0.7876085962505716,1.146435260772705,0.9264260517802508
